epoch,G_loss,D_loss,D_real_acc,D_fake_acc,dinov2_cos,sec
1,0.6977682080533769,1.2945338333094563,0.9839409722222222,0.5266203703703703,0.3538780212402344,4.969217300415039
2,0.7505637241734399,1.2694968404593292,0.9078414351851852,0.8816550925925926,0.3417800962924957,4.9349143505096436
3,0.756566920766124,1.297849460884377,0.7390046296296297,0.7960069444444444,0.33242255449295044,4.967516899108887
4,0.7623517601578323,1.2875722094818398,0.7618634259259259,0.7921006944444444,0.3656995892524719,5.047234773635864
5,0.7723809039151227,1.2881656289100647,0.7767650462962963,0.7741608796296297,0.3661666512489319,5.10831093788147
6,0.7769193726557272,1.2947566862459536,0.7547743055555556,0.7676504629629629,0.381844162940979,5.154646396636963
7,0.7774010720076384,1.2895183541156627,0.7439236111111112,0.7618634259259259,0.38503360748291016,5.178263902664185
8,0.7812829315662384,1.2852759250888117,0.7447916666666666,0.7654803240740741,0.3883867561817169,5.186127185821533
9,0.7802048965736672,1.2943513327174716,0.7297453703703703,0.7180266203703703,0.39722317457199097,5.252254962921143
10,0.786406562284187,1.2887531761769895,0.7353877314814815,0.7605613425925926,0.41389283537864685,5.292292833328247
11,0.7890148129728105,1.2792021499739752,0.7569444444444444,0.7486979166666666,0.4234963655471802,5.351829528808594
12,0.798860862299248,1.2843022611406114,0.7417534722222222,0.7463831018518519,0.43957728147506714,5.3822550773620605
13,0.8008174388496964,1.2754483995614228,0.7524594907407407,0.7468171296296297,0.4636043310165405,5.423077583312988
14,0.8204414016670651,1.278556521292086,0.7364004629629629,0.7375578703703703,0.4866095781326294,5.462910413742065
15,0.8165986317175405,1.271580113304986,0.7507233796296297,0.7640335648148148,0.4804571270942688,5.487925291061401
16,0.823323624001609,1.2714095689632274,0.7392939814814815,0.7550636574074074,0.49945905804634094,5.517248153686523
17,0.8236886781674845,1.2689787105277732,0.7417534722222222,0.7644675925925926,0.5034904479980469,5.571112155914307
18,0.8176945127822735,1.2636129900261208,0.7316261574074074,0.7521701388888888,0.4904627501964569,5.616194248199463
19,0.8296818324813137,1.2677756746610005,0.7366898148148148,0.7513020833333334,0.49977582693099976,5.65338921546936
20,0.8337369406664813,1.2609647225450586,0.7361111111111112,0.7602719907407407,0.4948796331882477,5.699798345565796
21,0.8524118959903717,1.2614105630803991,0.7446469907407407,0.7614293981481481,0.4984462857246399,5.7267842292785645
22,0.8456527811509592,1.2497568240872137,0.7484085648148148,0.7832754629629629,0.5007228851318359,5.769639730453491
23,0.8341361913416121,1.2464203459245187,0.7511574074074074,0.7813946759259259,0.5062848329544067,5.753993034362793
24,0.8493005467785729,1.2342156171798706,0.7721354166666666,0.7799479166666666,0.5220917463302612,5.752137660980225
25,0.8709873457749685,1.2204653532416732,0.7690972222222222,0.7900752314814815,0.5413848161697388,5.794626235961914
26,0.8889088222274074,1.2144618475878681,0.7798032407407407,0.8033854166666666,0.5681146383285522,5.817234039306641
27,0.8970044939606278,1.210291568879728,0.7825520833333334,0.8033854166666666,0.5793756246566772,5.823467016220093
28,0.9045585438057229,1.196985748079088,0.7991898148148148,0.8239293981481481,0.5934432744979858,5.865110874176025
29,0.9055150129176952,1.1738706231117249,0.8255208333333334,0.8401331018518519,0.6237740516662598,5.873112916946411
