epoch,cos_mel,cos_notmel,margin
1,0.35287097096443176,0.34461042284965515,0.008260548114776611
2,0.34196487069129944,0.3380512297153473,0.0039136409759521484
3,0.331100732088089,0.3279382586479187,0.003162473440170288
4,0.365703821182251,0.3630790114402771,0.002624809741973877
5,0.3647734820842743,0.36064088344573975,0.004132598638534546
6,0.3824777901172638,0.3758732080459595,0.006604582071304321
7,0.3830697536468506,0.37532705068588257,0.007742702960968018
8,0.3926423192024231,0.3816194534301758,0.011022865772247314
9,0.397321879863739,0.3852331042289734,0.012088775634765625
10,0.4135363698005676,0.4016180634498596,0.011918306350708008
11,0.4246826171875,0.41181623935699463,0.012866377830505371
12,0.4431917071342468,0.43120914697647095,0.011982560157775879
13,0.46747496724128723,0.4553218483924866,0.01215311884880066
14,0.48409366607666016,0.47229909896850586,0.011794567108154297
15,0.48917827010154724,0.47861188650131226,0.010566383600234985
16,0.5054476261138916,0.49558478593826294,0.009862840175628662
17,0.4981577396392822,0.4867442846298218,0.01141345500946045
18,0.49568605422973633,0.48450368642807007,0.01118236780166626
19,0.5018181800842285,0.49217134714126587,0.009646832942962646
20,0.4938817620277405,0.4849713444709778,0.008910417556762695
21,0.4994894862174988,0.48783934116363525,0.011650145053863525
22,0.5077297687530518,0.49707716703414917,0.010652601718902588
23,0.5059599876403809,0.4946763515472412,0.011283636093139648
24,0.5270854830741882,0.5184553265571594,0.008630156517028809
25,0.535830020904541,0.5259146690368652,0.009915351867675781
26,0.550864577293396,0.5457931756973267,0.005071401596069336
27,0.5762463808059692,0.5724735260009766,0.0037728548049926758
28,0.6067785024642944,0.606060266494751,0.000718235969543457
29,0.6177898049354553,0.6183558702468872,-0.0005660653114318848
30,0.6480913162231445,0.6532774567604065,-0.005186140537261963
31,0.6782569289207458,0.6865187883377075,-0.00826185941696167
32,0.6954023838043213,0.7043859362602234,-0.0089835524559021
33,0.7143294215202332,0.7248859405517578,-0.010556519031524658
34,0.7224669456481934,0.7314587235450745,-0.008991777896881104
35,0.739067792892456,0.7467489242553711,-0.007681131362915039
36,0.7453843951225281,0.753247082233429,-0.007862687110900879
37,0.7527197599411011,0.7608917951583862,-0.008172035217285156
38,0.7557902336120605,0.7616364359855652,-0.005846202373504639
39,0.7714571952819824,0.7715132236480713,-5.602836608886719e-05
40,0.7706899642944336,0.7670180201530457,0.0036719441413879395
41,0.7739763259887695,0.7668214440345764,0.007154881954193115
42,0.7755861282348633,0.7671682834625244,0.008417844772338867
43,0.7738165259361267,0.7612811326980591,0.012535393238067627
44,0.7804139256477356,0.7672090530395508,0.013204872608184814
45,0.7848091125488281,0.7693933248519897,0.015415787696838379
46,0.7728767395019531,0.7554628849029541,0.017413854598999023
47,0.7712910175323486,0.7507325410842896,0.020558476448059082
48,0.7845216989517212,0.7649953365325928,0.019526362419128418
49,0.7793451547622681,0.7535840272903442,0.025761127471923828
