epoch,val_mcc
1,0.08955443062153955
6,0.20065069544695546
11,0.08955443062153955
16,0.12671233584784103
21,0.12671233584784103
26,0.20065069544695546
31,0.11040287144099298
36,0.15552678344397422
41,0.23765135158862416
46,0.12671233584784103
51,0.0
56,0.0
61,0.15526785922433564
66,0.15526785922433564
71,0.09707142319966874
76,0.22425248140973067
81,0.35637178333594394
86,0.3547031906439919
91,0.33980921018424437
96,0.38394581308295045
101,0.35457635509152596
106,0.38212266954834934
111,0.3843172788186034
116,0.3592688470500588
121,0.3668178026920859
126,0.39022615663529675
131,0.369633031794026
136,0.40247855803553667
141,0.3857316007571294
146,0.38647891736900397
151,0.36623128044083403
156,0.3774622296496648
161,0.3786973678485101
166,0.3985135404316642
171,0.40439573002894424
176,0.34415566341023257
181,0.3698695423863757
186,0.34522931329583945
191,0.3625828908161904
195,0.3761071538555812
196,0.40437868263503635
