imbalance,condition,n_real_mel,n_synth_added,test_mcc,test_acc,test_bal_acc,test_rec_pos,test_prec_pos,test_f1_pos,val_mcc_best,epoch_stopped,wallclock_sec
1:50,real_only,124,0,0.0,0.8887780548628429,0.5,0.0,0.0,0.0,0.0,1,3.7
1:50,real+synth_50pct,124,62,0.0,0.8887780548628429,0.5,0.0,0.0,0.0,0.0,1,3.6
1:50,real+synth_100pct,124,124,0.0,0.8887780548628429,0.5,0.0,0.0,0.0,0.0,1,3.4
1:50,real+synth_balanced,124,6104,0.3625846624248797,0.7735660847880299,0.7588440458395616,0.7399103139013453,0.29411764705882354,0.42091836734693877,0.3670825630122864,2,7.7
1:8,real_only,779,0,0.33989799551826844,0.9002493765586035,0.6025702968901773,0.21973094170403587,0.6533333333333333,0.3288590604026846,0.4478187885223441,23,17.8
1:8,real+synth_50pct,779,389,0.3612484874417929,0.8927680798004988,0.6454391951402415,0.3273542600896861,0.5289855072463768,0.40443213296398894,0.44571594438100365,10,9.4
1:8,real+synth_100pct,779,779,0.39533854006817754,0.8788029925187032,0.7003530572289915,0.47085201793721976,0.45652173913043476,0.46357615894039733,0.41832677640131666,4,5.6
1:8,real+synth_balanced,779,5449,0.3743054265023979,0.7870324189526184,0.7624966657104175,0.7309417040358744,0.30754716981132074,0.43293492695883135,0.3625828908161904,3,7.8
