run,classifier,sampling,accuracy,precision_neg,recall_neg,f1_neg,precision_pos,recall_pos,f1_pos,balanced_acc,mcc,kappa,roc_auc,pr_auc
dummy,Dummy,most_frequent,0.8748326639892905,0.8748326639892905,1.0,0.9332381292395573,0.0,0.0,0.0,0.5,0.0,0.0,,
bare_logreg,LogReg,none,0.8828647925033467,0.8903448275862069,0.9877582249426167,0.936525208560029,0.6363636363636364,0.1497326203208556,0.24242424242424243,0.5687454226317361,0.2691051688762018,0.2044922077052742,0.809061859424162,0.460748547952906
bare_mlp,MLP,none,0.8748326639892905,0.8748326639892905,1.0,0.9332381292395573,0.0,0.0,0.0,0.5,0.0,0.0,0.6945816234263059,0.2225028532411549
bare_xgb,XGBoost,none,0.8761713520749665,0.8760053619302949,1.0,0.9339049660593068,1.0,0.0106951871657754,0.021164021164021163,0.5053475935828877,0.09679380819074805,0.018564154279911205,0.8079735197967342,0.44962375462889875
cw_logreg,LogReg,class_weight,0.8795180722891566,0.9027877055039314,0.9663351185921959,0.9334811529933481,0.5368421052631579,0.2727272727272727,0.3617021276595745,0.6195311956597342,0.3241896880798429,0.30291514809035247,0.8018362662586075,0.44915902176413086
spw_xgb,XGBoost,scale_pos_weight,0.8801874163319946,0.8805668016194332,0.9984697781178271,0.9358192900681248,0.8333333333333334,0.053475935828877004,0.10050251256281408,0.525972856973352,0.19257219995827501,0.08671598057496466,0.8091395979689783,0.44039857341641486
RandomUnder_logreg,LogReg,RandomUnder,0.7262382864792504,0.9472111553784861,0.7276205049732212,0.8230203375162267,0.27346938775510204,0.7165775401069518,0.39586410635155095,0.7220990225400865,0.31309082683331785,0.2621803525329095,0.799442737378738,0.35999168157730843
RandomUnder_mlp,MLP,RandomUnder,0.6191432396251674,0.9555555555555556,0.5921958684009181,0.7312234293811998,0.22076023391812866,0.8074866310160428,0.3467278989667049,0.6998412497084805,0.2654624934402538,0.1868769477109553,0.7739199456648487,0.3448422185509462
RandomUnder_xgb,XGBoost,RandomUnder,0.6894243641231593,0.9376947040498442,0.6908951798010712,0.7955947136563877,0.2391713747645951,0.679144385026738,0.35376044568245124,0.6850197824139046,0.25582698613964894,0.20693560676262845,0.7685641690772435,0.32810124676066554
NearMiss-1_logreg,LogReg,NearMiss-1,0.49866131191432395,0.9558823529411765,0.4475899005355777,0.6096925482021887,0.18140589569160998,0.8556149732620321,0.2993451824134705,0.6516024368988049,0.20402565059472028,0.1169585659294613,0.7093560384437562,0.23194380646443602
NearMiss-1_mlp,MLP,NearMiss-1,0.6057563587684069,0.9284009546539379,0.595256312165264,0.7254079254079254,0.19359756097560976,0.679144385026738,0.3013048635824436,0.6372003485960009,0.18296578298998215,0.13226729566570483,0.6709531973045182,0.21153441814597213
NearMiss-1_xgb,XGBoost,NearMiss-1,0.41967871485943775,0.9435483870967742,0.35807192042846214,0.519134775374376,0.1593186372745491,0.8502673796791443,0.2683544303797468,0.6041696500538032,0.14639413875450613,0.0728918689492376,0.6922821991006878,0.22131487745599793
SMOTE_logreg,LogReg,SMOTE,0.8842034805890228,0.903271692745377,0.9716908951798011,0.9362329524511611,0.5795454545454546,0.2727272727272727,0.3709090909090909,0.6222090839535369,0.34352479179084705,0.3161259254163382,0.8000523712301921,0.4520148480358807
SMOTE_mlp,MLP,SMOTE,0.8038821954484605,0.9355670103092784,0.8332058148431523,0.8814245244840145,0.3393939393939394,0.5989304812834224,0.4332688588007737,0.7160681480632873,0.3447036500882953,0.3254902323345321,0.8137138976060619,0.4776762295989241
SMOTE_xgb,XGBoost,SMOTE,0.8842034805890228,0.9067431850789096,0.9671002295332823,0.9359496482784154,0.57,0.3048128342245989,0.397212543554007,0.6359565318789406,0.36004541391399075,0.33961030001686354,0.8097246828062795,0.45197205061388246
KMeansSMOTE_logreg,LogReg,KMeansSMOTE,0.8862115127175368,0.9006342494714588,0.9778117827084928,0.9376375641966251,0.6133333333333333,0.24598930481283424,0.3511450381679389,0.6119005437606635,0.3391555748950917,0.3010584019946172,0.8055922654239411,0.4528121790500142
KMeansSMOTE_mlp,MLP,KMeansSMOTE,0.8400267737617135,0.9145962732919255,0.901300688599847,0.9078998073217727,0.3737864077669903,0.4117647058823529,0.39185750636132316,0.6565326972411,0.30047069375821644,0.3000050970597806,0.7947661501826856,0.39118411668102715
KMeansSMOTE_xgb,XGBoost,KMeansSMOTE,0.8828647925033467,0.8866120218579235,0.9931140015302219,0.936845904005774,0.7,0.11229946524064172,0.1935483870967742,0.5527067333854319,0.24867007635320604,0.1646377700669056,0.8245113723308062,0.43728101413303344
