run,classifier,sampling,accuracy,precision_neg,recall_neg,f1_neg,precision_pos,recall_pos,f1_pos,balanced_acc,mcc,kappa,roc_auc,pr_auc
dummy,Dummy,most_frequent,0.8748326639892905,0.8748326639892905,1.0,0.9332381292395573,0.0,0.0,0.0,0.5,0.0,0.0,,
bare_logreg,LogReg,none,0.8781793842034806,0.9232505643340858,0.9387911247130833,0.9309559939301972,0.5151515151515151,0.45454545454545453,0.48295454545454547,0.696668289629269,0.41525844276148793,0.41421609813476723,0.8401245453318004,0.49432649014590446
bare_mlp,MLP,none,0.893574297188755,0.9159420289855073,0.9671002295332823,0.9408262002232973,0.6228070175438597,0.37967914438502676,0.4717607973421927,0.6733896869591546,0.43223495584524374,0.4164320563654319,0.8728647472065268,0.5728695118647827
bare_xgb,XGBoost,none,0.8882195448460509,0.8914835164835165,0.9931140015302219,0.9395584509591024,0.7631578947368421,0.15508021390374332,0.2577777777777778,0.5740971077169826,0.3114708177765372,0.22501226944318475,0.8406032511077742,0.5053436918791973
cw_logreg,LogReg,class_weight,0.8112449799196787,0.9421915444348576,0.8355011476664116,0.8856447688564477,0.3582089552238806,0.6417112299465241,0.45977011494252873,0.7386061888064679,0.37862228761426653,0.35636700286291323,0.8340118408078263,0.46748528962479774
spw_xgb,XGBoost,scale_pos_weight,0.857429718875502,0.916920731707317,0.9204284621270085,0.9186712485681557,0.42857142857142855,0.41711229946524064,0.42276422764227645,0.6687703807961245,0.3414933189751143,0.34145251211668437,0.8238935554746347,0.44791768025268774
RandomUnder_logreg,LogReg,RandomUnder,0.749665327978581,0.9464114832535885,0.7566947207345065,0.8409863945578231,0.29175946547884185,0.7005347593582888,0.4119496855345912,0.7286147400463976,0.32999815008896183,0.2857139204712512,0.8186441579483571,0.3843750624996265
RandomUnder_mlp,MLP,RandomUnder,0.6345381526104418,0.9502958579881656,0.6143840856924254,0.7462825278810409,0.22342064714946072,0.7754010695187166,0.34688995215311,0.694892577605571,0.2602155162894919,0.1893490536224307,0.7859039560736306,0.3865147777121327
RandomUnder_xgb,XGBoost,RandomUnder,0.6954484605087015,0.9484210526315789,0.6893649579188983,0.7984049623393886,0.2536764705882353,0.7379679144385026,0.37756497948016415,0.7136664361787004,0.29387567965695927,0.23506005684976672,0.7960058753973871,0.3873405146502387
NearMiss-1_logreg,LogReg,NearMiss-1,0.5087014725568942,0.9643435980551054,0.45524100994644223,0.6185031185031185,0.18814139110604333,0.8823529411764706,0.3101503759398496,0.6687969755614565,0.22688765937760194,0.13080187505251184,0.7227086563915405,0.22762713609212407
NearMiss-1_mlp,MLP,NearMiss-1,0.4564926372155288,0.9824561403508771,0.3856159143075746,0.5538461538461539,0.18144750254842,0.9518716577540107,0.3047945205479452,0.6687437860307927,0.2351923521165875,0.11970846775773558,0.7089693914708542,0.21963530496922543
NearMiss-1_xgb,XGBoost,NearMiss-1,0.500669344042838,0.9531502423263328,0.45141545524100996,0.612668743509865,0.18057142857142858,0.8449197860962567,0.2975517890772128,0.6481676206686333,0.19906391842197485,0.11502027191200737,0.7041557389457834,0.23557787747042647
SMOTE_logreg,LogReg,SMOTE,0.8239625167336011,0.938655462184874,0.854628921193573,0.894673608329996,0.375,0.6096256684491979,0.46435845213849286,0.7321272948213855,0.38159662981458875,0.3661096573731403,0.8336108735766686,0.4665979036565331
SMOTE_mlp,MLP,SMOTE,0.8025435073627845,0.9493783303730018,0.8179035960214232,0.8787505137690095,0.3532608695652174,0.6951871657754011,0.46846846846846846,0.7565453808984122,0.394057581637357,0.3626814433913972,0.8572638487126087,0.5185801927892828
SMOTE_xgb,XGBoost,SMOTE,0.8132530120481928,0.921311475409836,0.8599846977811783,0.889592402057776,0.33211678832116787,0.48663101604278075,0.3947939262472885,0.6733078569119795,0.2963818795680473,0.28900586431229935,0.8058582130772599,0.4163862757199125
KMeansSMOTE_logreg,LogReg,KMeansSMOTE,0.856760374832664,0.9347653142402546,0.8990053557765876,0.9165366614664586,0.4430379746835443,0.5614973262032086,0.49528301886792453,0.7302513409898981,0.41710841253827186,0.41316916841954565,0.8298466914066176,0.4760121407815423
KMeansSMOTE_mlp,MLP,KMeansSMOTE,0.8514056224899599,0.9343474779823859,0.8928844682478959,0.9131455399061033,0.42857142857142855,0.5614973262032086,0.4861111111111111,0.7271908972255523,0.4060834200015496,0.4010812997266052,0.8470923738487535,0.5088162216637514
KMeansSMOTE_xgb,XGBoost,KMeansSMOTE,0.8835341365461847,0.9066762383345298,0.9663351185921959,0.9355555555555556,0.5643564356435643,0.3048128342245989,0.3958333333333333,0.6355739764083974,0.35737871405412625,0.33768834490876387,0.8368186114259294,0.44183556989264877
